Entity,Year,Annual CO₂ emissions
World,1750,9350528
World,1751,9350528
World,1752,9354192
World,1753,9354192
World,1754,9357856
World,1755,9361520
World,1756,10006384
World,1757,10010048
World,1758,10013712
World,1759,10017376
World,1760,10017376
World,1761,10973680
World,1762,10977344
World,1763,10981008
World,1764,10984672
World,1765,10988336
World,1766,12259744
World,1767,12263408
World,1768,12267072
World,1769,12270736
World,1770,12274400
World,1771,13611760
World,1772,13615424
World,1773,13619088
World,1774,13622752
World,1775,13626416
World,1776,15037056
World,1777,15040720
World,1778,15044384
World,1779,15048048
World,1780,15055376
World,1781,16843408
World,1782,16847072
World,1783,16854400
World,1784,16858064
World,1785,16869056
World,1786,19151728
World,1787,19159056
World,1788,19162720
World,1789,19170048
World,1790,19177376
World,1791,21419744
World,1792,21896064
World,1793,21914384
World,1794,21881408
World,1795,21892400
World,1796,22951296
World,1797,24094464
World,1798,25094736
World,1799,26428432
World,1800,28091888
World,1801,27959984
World,1802,36782896
World,1803,31488416
World,1804,34309696
World,1805,33419346
World,1806,35046160
World,1807,36874496
World,1808,35064480
World,1809,35090130
World,1810,37380130
World,1811,39582190
World,1812,41007490
World,1813,41220000
World,1814,42128670
World,1815,43488016
World,1816,47664976
World,1817,49431024
World,1818,49643536
World,1819,49947650
World,1820,50687776
World,1821,51435230
World,1822,53465090
World,1823,56550176
World,1824,58525070
World,1825,60756450
World,1826,61419630
World,1827,65915360
World,1828,66637170
World,1829,66395348
World,1830,89123140
World,1831,84528480
World,1832,85111060
World,1833,86807490
World,1834,88485600
World,1835,90445840
World,1836,104775740
World,1837,104691470
World,1838,108044030
World,1839,111612770
World,1840,118929780
World,1841,122619420
World,1842,129504070
World,1843,132852984
World,1844,141423070
World,1845,155210700
World,1846,157793820
World,1847,172402190
World,1848,173816500
World,1849,183511440
World,1850,196896030
World,1851,198804980
World,1852,207550940
World,1853,217209250
World,1854,255138980
World,1855,260165980
World,1856,277291520
World,1857,279889280
World,1858,284171300
World,1859,301311650
World,1860,330641280
World,1861,347734530
World,1862,354056670
World,1863,377859070
World,1864,407090300
World,1865,432306980
World,1866,445969700
World,1867,477814900
World,1868,490752500
World,1869,521130750
World,1870,532536740
World,1871,566143000
World,1872,626371800
World,1873,665419100
World,1874,622997250
World,1875,675799100
World,1876,685552700
World,1877,699098500
World,1878,704379200
World,1879,754867200
World,1880,853704640
World,1881,882405060
World,1882,931921900
World,1883,991032400
World,1884,1002174300
World,1885,1009671360
World,1886,1025475460
World,1887,1076757800
World,1888,1192271900
World,1889,1191799600
World,1890,1298458200
World,1891,1358873900
World,1892,1370088300
World,1893,1353668700
World,1894,1400857700
World,1895,1485272600
World,1896,1533701400
World,1897,1606300500
World,1898,1694265700
World,1899,1850798100
World,1900,1952209500
World,1901,2016744400
World,1902,2067684100
World,1903,2254094800
World,1904,2279748900
World,1905,2427313200
World,1906,2534734300
World,1907,2888308000
World,1908,2776404200
World,1909,2890468000
World,1910,3033820000
World,1911,3079214800
World,1912,3235538400
World,1913,3505865200
World,1914,3179912400
World,1915,3134378200
World,1916,3385277400
World,1917,3539852500
World,1918,3492840000
World,1919,3028560000
World,1920,3521062400
World,1921,3089464300
World,1922,3239735800
World,1923,3675398000
World,1924,3686099200
World,1925,3725636600
World,1926,3659297000
World,1927,3993753900
World,1928,3976071200
World,1929,4267657200
World,1930,3934730000
World,1931,3516940500
World,1932,3170800600
World,1933,3338349300
World,1934,3630765300
World,1935,3811112000
World,1936,4181088300
World,1937,4469369300
World,1938,4201279700
World,1939,4445443000
World,1940,4854657500
World,1941,4965649000
World,1942,4953623600
World,1943,5035077000
World,1944,5110656000
World,1945,4250264000
World,1946,4638339000
World,1947,5138490000
World,1948,5415709700
World,1949,5245849000
World,1950,6003272000
World,1951,6379796500
World,1952,6465727000
World,1953,6647763000
World,1954,6789969000
World,1955,7443244000
World,1956,7924253000
World,1957,8185547000
World,1958,8417624000
World,1959,8856221000
World,1960,9387668000
World,1961,9418460000
World,1962,9751059000
World,1963,10271655000
World,1964,10829612000
World,1965,11317596000
World,1966,11866933000
World,1967,12244029000
World,1968,12910892000
World,1969,13767398000
World,1970,14898716000
World,1971,15505496000
World,1972,16228730000
World,1973,17086194000
World,1974,17017476000
World,1975,17054627000
World,1976,17991887000
World,1977,18502846000
World,1978,19077194000
World,1979,19618464000
World,1980,19501263000
World,1981,19036117000
World,1982,18884487000
World,1983,19006540000
World,1984,19664755000
World,1985,20325487000
World,1986,20627360000
World,1987,21273905000
World,1988,22107795000
World,1989,22410402000
World,1990,22757480000
World,1991,23244806000
World,1992,22580023000
World,1993,22812901000
World,1994,22969498000
World,1995,23458714000
World,1996,24159384000
World,1997,24302584000
World,1998,24213260000
World,1999,24732390000
World,2000,25453623000
World,2001,25668049000
World,2002,26281038000
World,2003,27651596000
World,2004,28636695000
World,2005,29614602000
World,2006,30593118000
World,2007,31506788000
World,2008,32085836000
World,2009,31564032000
World,2010,33364347000
World,2011,34487013000
World,2012,35006270000
World,2013,35319200000
World,2014,35577537000
World,2015,35558568000
World,2016,35524190000
World,2017,36096737000
World,2018,36826510000
World,2019,37082560000
World,2020,35264086000
World,2021,37123850000
